Sail Year,Sail Month,Product,Weekend,Monday,Tuesday,Wednesday,Thursday,Friday
2024,12,7N CARIBBEAN,65%,6%,5%,5%,6%,14%
2024,12,SHORT CARIBBEAN,51%,8%,12%,6%,4%,19%
2025,1,7N CARIBBEAN,48%,10%,10%,9%,9%,14%
2025,1,SHORT CARIBBEAN,37%,16%,9%,11%,12%,15%
2025,2,7N CARIBBEAN,37%,15%,12%,10%,12%,14%
2025,2,SHORT CARIBBEAN,32%,16%,13%,13%,12%,14%
2025,3,7N CARIBBEAN,42%,13%,9%,10%,12%,14%
2025,3,SHORT CARIBBEAN,34%,14%,12%,13%,12%,15%
2025,4,7N CARIBBEAN,23%,14%,12%,13%,14%,23%
2025,4,EUROPE,38%,14%,11%,11%,8%,19%
2025,4,SHORT CARIBBEAN,33%,15%,13%,12%,13%,15%
2025,5,7N CARIBBEAN,27%,15%,11%,13%,12%,22%
2025,5,ALASKA,34%,14%,11%,10%,12%,19%
2025,5,EUROPE,29%,15%,9%,9%,12%,26%
2025,5,SHORT CARIBBEAN,28%,16%,14%,15%,13%,14%
2025,6,7N CARIBBEAN,31%,18%,10%,12%,15%,15%
2025,6,ALASKA,37%,16%,13%,9%,11%,14%
2025,6,EUROPE,30%,14%,11%,13%,14%,19%
2025,6,SHORT CARIBBEAN,25%,18%,13%,15%,15%,14%
2025,7,7N CARIBBEAN,22%,17%,13%,14%,19%,15%
2025,7,ALASKA,32%,16%,13%,12%,14%,13%
2025,7,EUROPE,25%,18%,12%,13%,15%,17%
2025,7,SHORT CARIBBEAN,26%,19%,17%,13%,15%,11%
2025,8,7N CARIBBEAN,25%,20%,15%,15%,15%,10%
2025,8,ALASKA,30%,20%,14%,14%,15%,8%
2025,8,EUROPE,30%,17%,12%,15%,15%,11%
2025,8,SHORT CARIBBEAN,22%,22%,13%,16%,17%,11%
2025,9,7N CARIBBEAN,30%,18%,13%,12%,15%,13%
2025,9,ALASKA,34%,21%,13%,12%,15%,6%
2025,9,EUROPE,39%,16%,11%,10%,12%,13%
2025,9,SHORT CARIBBEAN,23%,18%,14%,15%,19%,12%
2025,10,7N CARIBBEAN,29%,18%,11%,16%,15%,12%
2025,10,ALASKA,29%,22%,17%,4%,21%,8%
2025,10,EUROPE,32%,12%,13%,14%,14%,16%
2025,10,SHORT CARIBBEAN,14%,16%,14%,10%,11%,36%
2025,11,7N CARIBBEAN,28%,18%,14%,15%,14%,12%
2025,11,SHORT CARIBBEAN,22%,18%,14%,13%,14%,18%
2025,12,7N CARIBBEAN,26%,18%,13%,13%,15%,15%
2025,12,SHORT CARIBBEAN,25%,17%,14%,15%,16%,13%
2026,1,7N CARIBBEAN,23%,17%,13%,15%,18%,14%
2026,1,SHORT CARIBBEAN,27%,14%,13%,14%,17%,15%
2026,2,7N CARIBBEAN,24%,17%,13%,13%,15%,18%
2026,2,SHORT CARIBBEAN,19%,18%,17%,14%,14%,18%
2026,3,7N CARIBBEAN,23%,19%,14%,14%,15%,15%
2026,3,SHORT CARIBBEAN,20%,16%,11%,15%,17%,20%
2026,4,7N CARIBBEAN,27%,15%,14%,15%,16%,13%
2026,4,EUROPE,12%,20%,6%,24%,23%,16%
2026,4,SHORT CARIBBEAN,24%,12%,13%,12%,18%,21%
2026,5,7N CARIBBEAN,28%,18%,13%,17%,15%,9%
2026,5,ALASKA,28%,21%,9%,11%,13%,19%
2026,5,EUROPE,19%,9%,10%,8%,10%,45%
2026,5,SHORT CARIBBEAN,26%,7%,7%,6%,6%,47%
2026,6,7N CARIBBEAN,23%,14%,18%,15%,15%,15%
2026,6,ALASKA,23%,15%,10%,14%,13%,24%
2026,6,EUROPE,24%,18%,16%,15%,14%,13%
2026,7,7N CARIBBEAN,20%,22%,16%,12%,16%,14%
2026,7,ALASKA,18%,12%,13%,11%,17%,30%
2026,7,EUROPE,23%,16%,13%,18%,12%,19%
2026,8,7N CARIBBEAN,25%,19%,13%,11%,12%,20%
2026,8,ALASKA,14%,10%,10%,7%,6%,53%
2026,8,EUROPE,26%,20%,15%,6%,15%,18%
2026,9,7N CARIBBEAN,23%,22%,12%,7%,11%,25%
2026,9,ALASKA,14%,18%,8%,12%,12%,35%
2026,9,EUROPE,9%,4%,6%,7%,11%,65%
2026,10,7N CARIBBEAN,27%,11%,13%,13%,11%,24%
2026,10,ALASKA,30%,24%,11%,3%,10%,21%
2026,10,EUROPE,5%,8%,2%,5%,7%,74%
2026,11,7N CARIBBEAN,19%,12%,8%,5%,12%,43%
2026,11,EUROPE,6%,10%,1%,5%,25%,54%
2026,12,7N CARIBBEAN,8%,5%,3%,2%,4%,78%
2027,1,7N CARIBBEAN,16%,9%,17%,12%,16%,30%
2027,2,7N CARIBBEAN,16%,20%,11%,11%,24%,17%
2027,3,7N CARIBBEAN,28%,17%,18%,9%,14%,15%
2027,4,7N CARIBBEAN,23%,18%,14%,20%,15%,10%
